,16-Apr,Thu 1,25HR-JA, ,"High Math Lc
aud 327",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , , ,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,17-Apr,Fri 1,25HR-JA,OOP Java Lc online, , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online), , , , , ,,,,,
,18-Apr,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,19-Apr,Sun,, , , , , , , ,,,,,
8 Week,20-Apr,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online,"???????? ??????
?????? ?????????? ??? IT-????????????
Maryia Filimanchuk
?????? ? 17.00
aud 327", ,,,,,
,,2,25HR-JS, , ,,,,, ,,,,,
,,3,25HR-CS, , ,, ,,, ,,,,,
,21-Apr,Tue 1,25HR-JA, , , , ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Pr aud 330, , ,, , ,,,,,
,22-Apr,Wed 1,25HR-JA, ,,"English AT aud 340
English NS2 online", ,English NS1 online,"AlgorithmsAndDS Pr1
16.20-17.50 online", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,, ,AlgorithmsAndDS Pr2 online,,,,,
,23-Apr,Thu 1,25HR-JA, ,"High Math Lc
aud 327",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , , ,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,24-Apr,Fri 1,25HR-JA,OOP Java Lc online, , , ,English NS2 online, , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS,OOP CS Lc (online),OOP CS Lc (online), , ,, , ,,,,,
,25-Apr,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,26-Apr,Sun,, , , , , , , ,,,,,
9 Week,27-Apr,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, ,"AlgorithmsAndDS Pr1
online",,,,,
,,2,25HR-JS, , ,, ,, ,,,,,,
,,3,25HR-CS, , ,, ,,AlgorithmsAndDS Pr2 online, ,,,,,
,28-Apr,Tue 1,25HR-JA,OOP Java Pr online, , , ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, , , , ,, , ,,,,,
,29-Apr,Wed 1,25HR-JA,OOP Java Lc online, ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,, ,, , ,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,30-Apr,Thu 1,25HR-JA, ,"High Math Lc
aud 327",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,1-May,Fri 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,2-May,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,3-May,Sun,, , , , , , , ,,,,,
10 Week,4-May,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,, ,,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,5-May,Tue 1,25HR-JA,OOP Java Pr online, , , ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, , , , ,, , ,,,,,
,6-May,Wed 1,25HR-JA,"High Math Pr
aud 339",,"English AT aud 340
English NS2 online", ,English NS1 online,"Software Testing
(online)", ,,,,,
,,2,25HR-JS,,,, ,,,Web Dev JS Lc online,,,,,
,,3,25HR-CS,,,, ,,, ,,,,,
,7-May,Thu 1,25HR-JA, ,"High Math Lc
aud 339",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,, , ,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,8-May,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,9-May,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,10-May,Sun,, , , , , , , ,,,,,
11 Week,11-May,Mon 1,25HR-JA, ,"Digital Soc
ML aud 325","Digital Soc
ML aud 325", ,"Digital Soc
RK aud 340","Digital Soc
RK aud 340", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,12-May,Tue 1,25HR-JA, ,"Digital Soc
ML aud 325","Digital Soc
ML aud 325", ,"Digital Soc
RK aud 340","Digital Soc
RK aud 340", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,13-May,Wed 1,25HR-JA, ,"Digital Soc
ML aud 325","Digital Soc
ML aud 325", ,"Digital Soc
RK aud 340","Digital Soc
RK aud 340", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,14-May,Thu 1,25HR-JA, ,"Digital Soc
ML aud 325","Digital Soc
ML aud 325", ,"Digital Soc
RK aud 340","Digital Soc
RK aud 340", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,15-May,Fri 1,25HR-JA, ,"Digital Soc
ML aud 325","Digital Soc
ML aud 325", ,"Digital Soc
RK aud 340","Digital Soc
RK aud 340", ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,16-May,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,17-May,Sun,, , , , , , , ,,,,,
12 Week,18-May,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,,,, ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,19-May,Tue 1,25HR-JA,OOP Java Pr online,"High Math Lc
aud 339",High Math Pr1 aud 345, ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, ,,,,, , ,,,,,
,,3,25HR-CS,High Math Pr2 aud 345,, , ,, , ,,,,,
,20-May,Wed 1,25HR-JA,OOP Java Pr online, ,"English AT aud 340
English NS2 online", ,English NS1 online,"Software Testing
(online)", ,,,,,
,,2,25HR-JS, , ,, ,,,Web Dev JS Lc online,,,,,
,,3,25HR-CS, , ,, ,,, ,,,,,
,21-May,Thu 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , ,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,OOP CS Pr aud 330, , , , ,,,,,
,22-May,Fri 1,25HR-JA,OOP Java Lc online,, , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),, ,, , ,,,,,
,23-May,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,24-May,Sun,, , , , , , , ,,,,,
13 Week,25-May,Mon 1,25HR-JA, ,"High Math
?onsultation
online","English AT aud 340
English NS2 online", ,English NS1 online,"AlgorithmsAndDS Pr1
online", ,,,,,
,,2,25HR-JS, ,,,,,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,, ,, ,AlgorithmsAndDS Pr2 online,,,,,
,26-May,Tue 1,25HR-JA,OOP Java Pr online, , , ,"English AT aud 340
English NS1 online","AlgorithmsAndDS Pr1
online", ,,,,,
,,2,25HR-JS, , , ,,,, ,,,,,
,,3,25HR-CS, , , , ,, ,AlgorithmsAndDS Pr2 online,,,,,
,27-May,Wed 1,25HR-JA, ,"High Math
Test 2
aud 331","English AT aud 340
English NS2 online", ,English NS1 online,"Software Testing
(online)", ,,,,,
,,2,25HR-JS, ,,, ,,,Web Dev JS Lc online,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,28-May,Thu 1,25HR-JA, ,"High Math Lc
aud 339",High Math Pr1 aud 345, , , , ,,,,,
